Player,totals.Pos,totals.Age,totals.Tm,totals.G,totals.GS,totals.MP,totals.FG,totals.FGA,totals.FG.,totals.3P,totals.3PA,totals.3P.,totals.2P,totals.2PA,totals.2P.,totals.FT,totals.FTA,totals.FT.,totals.ORB,totals.DRB,totals.TRB,totals.AST,totals.STL,totals.BLK,totals.TOV,totals.PF,totals.PTS,advanced.PER,advanced.TS.,advanced.eFG.,advanced.FTr,advanced.3PAr,advanced.ORB.,advanced.DRB.,advanced.TRB.,advanced.AST.,advanced.STL.,advanced.BLK.,advanced.TOV.,advanced.USG.,advanced.ORtg,advanced.DRtg,advanced.OWS,advanced.DWS,advanced.WS,advanced.WS48,Pts.Won,Salary
Adrian Dantley,SF,29,UTA,76,75,2744,818,1453,0.563,1,11,0.091,817,1442,0.567,630,796,0.791,178,217,395,264,64,4,231,206,2267,24.6,0.629,0.563,0.548,0.008,7.2,8.5,7.8,16.7,1.1,0.1,11.4,30,121,109,10.4,2.3,12.8,0.223,0.000986193,0.007530766
Alex English,SF,32,DEN,81,81,3024,951,1888,0.504,1,5,0.2,950,1883,0.505,511,593,0.862,192,213,405,320,73,29,249,235,2414,21.7,0.562,0.504,0.314,0.003,6.3,7.7,7,17,1.1,0.5,10.4,30.5,113,110,7.6,2.3,9.8,0.156,0.027120316,0.007530766
Alvin Robertson,SG,23,SAS,82,82,2878,562,1093,0.514,8,29,0.276,554,1064,0.521,260,327,0.795,184,332,516,448,301,40,256,296,1392,19.5,0.563,0.518,0.299,0.027,7.5,12.8,10.2,21.8,4.8,0.8,17.1,20.9,109,103,4,4.6,8.6,0.143,0.00147929,0.002133717
Buck Williams,PF,25,NJN,82,82,3070,500,956,0.523,0,2,0,500,954,0.524,301,445,0.676,329,657,986,131,73,96,244,294,1301,15.1,0.565,0.523,0.465,0.002,12,24.1,18,5.8,1.1,1.8,17.5,18.1,107,105,2.8,4,6.8,0.106,0.000986193,0.008352304
Charles Barkley,PF,22,PHI,80,80,2952,595,1041,0.572,17,75,0.227,578,966,0.598,396,578,0.685,354,672,1026,312,173,125,350,333,1603,22.4,0.619,0.58,0.555,0.072,13.4,25.4,19.4,16,2.8,2.4,21.3,22.4,111,100,5.4,5.5,10.8,0.176,0.065581854,0.003993588
Dennis Johnson,PG,31,BOS,78,78,2732,482,1060,0.455,6,42,0.143,476,1018,0.468,243,297,0.818,69,199,268,456,110,35,173,206,1213,14.7,0.509,0.458,0.28,0.04,3,7.5,5.4,22,1.9,0.7,12.7,20.5,107,104,3,3.7,6.7,0.118,0.000493097,0.007142818
Dominique Wilkins,SF,26,ATL,78,78,3049,888,1897,0.468,13,70,0.186,875,1827,0.479,577,705,0.818,261,357,618,206,138,49,251,170,2366,23.3,0.536,0.472,0.372,0.037,9.5,12.9,11.2,11.7,2.2,0.9,10.2,32.9,111,105,7,3.9,10.8,0.17,0.200690335,0.005339998
Hakeem Olajuwon,C,23,HOU,68,68,2467,625,1188,0.526,0,0,0,625,1188,0.526,347,538,0.645,333,448,781,137,134,231,195,271,1597,24.2,0.56,0.526,0.453,0,14.4,19.8,17.1,8,2.5,5.2,12,25.6,113,102,5.3,4.2,9.5,0.186,0.095167653,0.008055638
Isiah Thomas,PG,24,DET,77,77,2790,609,1248,0.488,26,84,0.31,583,1164,0.501,365,462,0.79,83,194,277,830,171,20,289,245,1609,21.2,0.554,0.498,0.37,0.067,3.1,7.6,5.3,40.7,2.8,0.4,16.6,24.4,113,108,6.1,2.7,8.8,0.151,0.013806706,0.006846151
James Worthy,SF,24,LAL,75,73,2454,629,1086,0.579,0,13,0,629,1073,0.586,242,314,0.771,136,251,387,201,82,77,149,195,1500,20.4,0.613,0.579,0.289,0.012,6.6,11.1,9,11.5,1.6,1.7,10.9,22.6,120,107,6.7,2.7,9.5,0.185,0.003451677,0.000502051
